number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decoder_0_batch_norm,params_decoder_0_dropout,params_decoder_0_dropout_rate,params_decoder_1_activation,params_decoder_1_batch_norm,params_decoder_1_dropout,params_decoder_1_dropout_rate,params_decoder_1_units,params_decoder_2_activation,params_decoder_2_batch_norm,params_decoder_2_dropout,params_decoder_2_dropout_rate,params_decoder_2_units,params_decoder_3_activation,params_decoder_3_batch_norm,params_decoder_3_dropout,params_decoder_3_dropout_rate,params_decoder_3_units,params_decoder_4_activation,params_decoder_4_batch_norm,params_decoder_4_dropout,params_decoder_4_dropout_rate,params_decoder_4_units,params_decoder_5_activation,params_decoder_5_batch_norm,params_decoder_5_dropout,params_decoder_5_dropout_rate,params_decoder_5_units,params_dropout_rate,params_epochs,params_first_activation,params_first_layer_units,params_l1_strength,params_l2_strength,params_latent_activation,params_latent_dim,params_layer_1_activation,params_layer_1_batch_norm,params_layer_1_dropout,params_layer_1_dropout_rate,params_layer_1_strategy,params_layer_1_units,params_layer_2_activation,params_layer_2_batch_norm,params_layer_2_dropout,params_layer_2_dropout_rate,params_layer_2_strategy,params_layer_2_units,params_layer_3_activation,params_layer_3_batch_norm,params_layer_3_dropout,params_layer_3_dropout_rate,params_layer_3_strategy,params_layer_3_units,params_layer_4_activation,params_layer_4_batch_norm,params_layer_4_dropout,params_layer_4_dropout_rate,params_layer_4_strategy,params_layer_4_units,params_layer_5_activation,params_layer_5_batch_norm,params_layer_5_dropout,params_layer_5_dropout_rate,params_layer_5_strategy,params_layer_5_units,params_learning_rate,params_loss_function,params_lr_factor,params_lr_patience,params_momentum,params_n_encoder_layers,params_optimizer,params_output_activation,params_patience,params_reg_strength,params_regularization_type,params_scaler_type,params_stride,params_train_split,params_use_batch_norm,params_use_dropout,params_use_lr_scheduler,params_weight_decay,state
0,inf,2025-07-14 13:08:54.230545,2025-07-14 13:09:17.145540,0 days 00:00:22.914995,56,True,True,0.2123738038749523,gelu,False,False,,284,,,,,,,,,,,,,,,,,,,,,,67,tanh,224,0.0001461896279370495,0.0028016351587162596,gelu,34,leaky_relu,True,True,0.14881529393791154,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,0.018274508859816022,huber,0.3176876252009636,6.0,,2,adam,tanh,45,,l1_l2,minmax,23,0.7311989040672405,False,False,True,,COMPLETE
1,inf,2025-07-14 13:09:17.168929,2025-07-14 13:10:07.531334,0 days 00:00:50.362405,17,False,False,,tanh,True,False,,127,tanh,True,False,,461.0,gelu,True,True,0.1646514856378455,55.0,relu,False,True,0.19674091636018068,203.0,,,,,,0.1307919639315172,190,gelu,199,,,elu,45,elu,True,False,,same,,leaky_relu,False,False,,same,,selu,True,False,,decrease,,selu,True,False,,same,,,,,,,,5.11025671565439e-05,mae,0.30611422444871,18.0,,5,adam,relu,27,0.04268407710065494,l2,none,39,0.7239188491876603,False,True,True,,COMPLETE
2,inf,2025-07-14 13:10:07.585342,2025-07-14 13:10:28.979020,0 days 00:00:21.393678,87,True,False,,leaky_relu,False,False,,379,elu,True,True,0.4509888054108212,17.0,selu,True,False,,298.0,tanh,True,False,,30.0,,,,,,0.30060651787487985,117,swish,153,,,elu,33,relu,True,True,0.11493927549968577,decrease,,relu,False,True,0.2291825891764984,decrease,,gelu,False,True,0.21197355877837715,decrease,,tanh,False,True,0.1391336642604006,decrease,,,,,,,,0.041833856821460375,huber,,,,5,adamw,relu,22,0.017276056747028225,l2,minmax,43,0.8872309548321562,False,True,False,2.3181776112903495e-05,COMPLETE
3,inf,2025-07-14 13:10:29.003160,2025-07-14 13:10:29.625540,0 days 00:00:00.622380,78,False,True,0.28021765412403743,relu,True,True,0.322172682241051,200,swish,False,False,,374.0,swish,True,True,0.4799199653167696,302.0,,,,,,,,,,,,134,relu,122,,,gelu,58,selu,False,False,,custom,505.0,selu,False,False,,custom,384.0,relu,True,False,,increase,,,,,,,,,,,,,,0.004856157707765673,logcosh,0.6285960789715334,5.0,,4,adam,relu,45,,none,minmax,40,0.7115117520033288,True,False,True,,COMPLETE
4,inf,2025-07-14 13:10:29.647642,2025-07-14 13:10:54.348048,0 days 00:00:24.700406,64,False,False,,selu,False,False,,313,tanh,False,True,0.4946060995171919,259.0,gelu,True,False,,130.0,,,,,,,,,,,0.2315006441150033,126,gelu,110,,,relu,47,selu,False,False,,decrease,,selu,False,True,0.44943144964271087,same,,relu,False,False,,decrease,,,,,,,,,,,,,,0.0019339745640818936,mae,,,,4,rmsprop,linear,19,0.0009299619346742016,l2,minmax,16,0.7701175117613194,False,True,False,,COMPLETE
5,inf,2025-07-14 13:10:54.370727,2025-07-14 13:11:16.246913,0 days 00:00:21.876186,84,False,True,0.28480232145765305,gelu,True,False,,72,selu,True,True,0.4385809166938073,406.0,,,,,,,,,,,,,,,,,114,gelu,48,,,elu,42,gelu,True,True,0.45088021632524333,decrease,,leaky_relu,False,True,0.47593284944539005,increase,,,,,,,,,,,,,,,,,,,,0.0018219343937475113,mse,0.1792666320885287,12.0,0.626985741489203,3,sgd,linear,40,0.0522536433816435,l1,minmax,42,0.7103647073644853,False,False,True,,COMPLETE
6,inf,2025-07-14 13:11:16.271165,2025-07-14 13:11:16.895448,0 days 00:00:00.624283,39,False,True,0.15574242962912965,tanh,False,True,0.10898772332804696,214,tanh,False,False,,21.0,gelu,True,False,,130.0,,,,,,,,,,,,51,swish,112,,,gelu,5,leaky_relu,True,True,0.33815400692801756,same,,leaky_relu,True,False,,custom,111.0,leaky_relu,False,False,,custom,196.0,,,,,,,,,,,,,0.002023326185206641,logcosh,0.5203618023035574,14.0,,4,rmsprop,relu,15,0.00064397908631016,l1,standard,58,0.8037676114252144,False,False,True,,COMPLETE
7,inf,2025-07-14 13:11:16.918101,2025-07-14 13:11:34.534707,0 days 00:00:17.616606,20,True,False,,gelu,False,False,,101,,,,,,,,,,,,,,,,,,,,,0.20490561771993004,140,relu,56,,,swish,40,relu,False,True,0.20885805489198508,custom,176.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05985024829384177,mse,0.3379124746376463,16.0,0.4267927949917174,2,sgd,tanh,19,0.004515279736389134,l1,robust,34,0.8037835410565675,True,True,True,,COMPLETE
8,inf,2025-07-14 13:11:34.559277,2025-07-14 13:12:03.761225,0 days 00:00:29.201948,18,True,True,0.12713482364206877,relu,True,True,0.3530487572535793,319,gelu,True,False,,448.0,swish,False,False,,410.0,swish,False,True,0.4514519945420632,119.0,,,,,,,98,leaky_relu,229,0.011715293025123641,0.00040525058872279963,linear,9,swish,False,True,0.37185891307722796,decrease,,selu,False,True,0.3050754044066034,increase,,selu,False,True,0.16155836253594202,decrease,,selu,True,True,0.3203429482436557,decrease,,,,,,,,0.0783350052213816,huber,0.29153866639716614,12.0,0.8719900697571223,5,sgd,relu,30,,l1_l2,standard,54,0.7637505005864139,False,False,True,,COMPLETE
9,inf,2025-07-14 13:12:03.814617,2025-07-14 13:12:34.323243,0 days 00:00:30.508626,75,False,True,0.474484898497476,relu,False,True,0.1669930329036279,172,leaky_relu,False,True,0.10390833896767347,442.0,,,,,,,,,,,,,,,,0.11245363315380455,160,tanh,35,,,elu,4,relu,True,False,,same,,gelu,False,False,,increase,,,,,,,,,,,,,,,,,,,,2.091507303847255e-05,mae,,,0.8053349904544749,3,sgd,sigmoid,13,0.08628009047476771,l2,standard,54,0.8387364451562977,False,True,False,,COMPLETE
10,inf,2025-07-14 13:12:34.346956,2025-07-14 13:12:51.438994,0 days 00:00:17.092038,123,True,True,0.41450626748745456,elu,False,False,,455,,,,,,,,,,,,,,,,,,,,,,50,tanh,252,1.979159125187673e-05,0.06135465318705141,tanh,30,leaky_relu,True,True,0.10818572891898985,increase,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023506997063237137,huber,,,,2,adam,tanh,49,,l1_l2,none,16,0.7493180649618773,True,False,False,,COMPLETE
11,inf,2025-07-14 13:12:51.465458,2025-07-14 13:13:42.299493,0 days 00:00:50.834035,45,True,False,,tanh,True,False,,40,relu,True,False,,249.0,tanh,False,True,0.10277049377242592,24.0,relu,False,True,0.12830350577044453,409.0,selu,False,True,0.39958838579136313,219.0,0.4281889012746768,198,selu,199,0.00014087155414616736,0.010149711533225463,gelu,21,elu,True,False,,same,,swish,True,False,,same,,selu,True,False,,same,,selu,True,False,,same,,elu,True,False,,same,,1.1483779539258284e-05,mae,0.3898879177018074,20.0,,6,adam,tanh,33,,l1_l2,none,28,0.7319061796613694,False,True,True,,COMPLETE
12,inf,2025-07-14 13:13:42.324057,2025-07-14 13:14:28.469165,0 days 00:00:46.145108,47,False,False,,swish,True,False,,126,tanh,True,False,,155.0,leaky_relu,True,True,0.150703163590349,8.0,relu,False,True,0.18602380593251316,249.0,tanh,True,False,,488.0,0.4957845022128461,192,tanh,182,,,swish,55,tanh,True,False,,increase,,elu,True,False,,same,,tanh,True,False,,custom,491.0,gelu,True,False,,same,,leaky_relu,False,True,0.3046413944066894,decrease,,0.00011434383429990597,mae,0.11622042536965407,5.0,,6,adam,sigmoid,29,,none,none,26,0.7039161398516709,False,True,True,,COMPLETE
13,inf,2025-07-14 13:14:28.494952,2025-07-14 13:14:58.960319,0 days 00:00:30.465367,115,True,False,,tanh,True,False,,274,gelu,True,False,,315.0,relu,False,True,0.2798822222895726,167.0,elu,True,False,,264.0,,,,,,,70,elu,210,0.0016562968323355738,1.1000027119649838e-05,tanh,25,elu,True,False,,same,,tanh,True,False,,decrease,,swish,True,True,0.4779780517727956,increase,,swish,False,False,,custom,277.0,,,,,,,0.01018611984889949,huber,0.7588561710780058,8.0,,5,adam,tanh,37,,l1_l2,robust,26,0.7397052007299975,False,False,True,,COMPLETE
14,inf,2025-07-14 13:14:58.987073,2025-07-14 13:15:30.288041,0 days 00:00:31.300968,102,False,True,0.21388473111468548,gelu,False,False,,505,swish,True,False,,507.0,,,,,,,,,,,,,,,,0.10170767665268282,166,gelu,168,,,relu,48,elu,True,True,0.24160727183658637,decrease,,leaky_relu,False,False,,same,,,,,,,,,,,,,,,,,,,,0.0003101950263789178,huber,0.24661580416910878,20.0,,3,adamw,relu,25,2.0453494572061994e-05,l2,none,34,0.7779449955174861,True,True,True,0.0643081014352029,COMPLETE
15,inf,2025-07-14 13:15:30.343373,2025-07-14 13:15:46.954277,0 days 00:00:16.610904,60,True,False,,elu,True,False,,375,,,,,,,,,,,,,,,,,,,,,,85,selu,251,0.0002343041429476928,0.0006769629144805936,linear,18,leaky_relu,True,False,,same,,,,,,,,,,,,,,,,,,,,,,,,,,5.320408356286779e-05,mae,0.4839389453799105,17.0,,2,adam,tanh,41,,l1_l2,minmax,48,0.841019521185495,False,False,True,,COMPLETE
16,inf,2025-07-14 13:15:46.975081,2025-07-14 13:16:15.977319,0 days 00:00:29.002238,33,False,False,,leaky_relu,False,False,,140,leaky_relu,True,False,,161.0,elu,True,True,0.2582519328795122,506.0,gelu,False,True,0.2985545288501706,510.0,,,,,,0.3246237541494781,174,elu,213,,,gelu,64,swish,True,False,,custom,9.0,elu,False,False,,same,,elu,True,False,,same,,elu,True,False,,increase,,,,,,,,0.016138676479915414,mse,0.40583516178515344,10.0,,5,adam,sigmoid,50,7.718752616213162e-05,l2,none,63,0.7261964919481684,False,True,True,,COMPLETE
17,inf,2025-07-14 13:16:16.029999,2025-07-14 13:16:16.716937,0 days 00:00:00.686938,30,True,True,0.3707926748094714,tanh,True,False,,247,relu,False,True,0.2029834170499545,503.0,,,,,,,,,,,,,,,,,151,leaky_relu,184,,,elu,39,tanh,True,True,0.21390187622398832,increase,,tanh,True,True,0.14706664551722393,custom,506.0,,,,,,,,,,,,,,,,,,,0.0006146197686049612,logcosh,0.22169184007302617,8.0,,3,adam,linear,35,,none,robust,21,0.7862959527027702,False,False,True,,COMPLETE
18,inf,2025-07-14 13:16:16.739988,2025-07-14 13:16:52.662565,0 days 00:00:35.922577,54,False,False,,swish,False,True,0.4744715974806339,20,elu,True,False,,329.0,gelu,False,True,0.4217972905412092,232.0,leaky_relu,False,True,0.26948381872553345,210.0,relu,True,False,,9.0,0.196542486675236,86,tanh,83,,,gelu,49,gelu,False,False,,decrease,,swish,False,False,,decrease,,selu,True,True,0.44589697504558723,decrease,,leaky_relu,True,False,,same,,tanh,False,True,0.1096542738137199,custom,310.0,5.931071602117006e-05,mae,,,,6,adamw,relu,26,0.006032096460171044,l2,none,34,0.8296559272301901,True,True,False,0.0029207018068494765,COMPLETE
19,inf,2025-07-14 13:16:52.688388,2025-07-14 13:17:27.301240,0 days 00:00:34.612852,23,True,True,0.20901638611476897,selu,True,False,,378,selu,True,False,,190.0,selu,True,True,0.19468586367720075,80.0,selu,True,False,,356.0,,,,,,,185,gelu,148,0.05975070291544269,0.005572179221054193,elu,28,elu,True,True,0.49947498838596815,same,,relu,False,False,,same,,swish,True,False,,decrease,,relu,False,True,0.48133375288010666,custom,40.0,,,,,,,0.012074617572898069,huber,0.6002814456335405,17.0,,5,rmsprop,tanh,45,,l1_l2,minmax,46,0.7577895796539551,False,False,True,,COMPLETE
20,inf,2025-07-14 13:17:27.322581,2025-07-14 13:17:56.260867,0 days 00:00:28.938286,97,True,True,0.3376497342506025,gelu,False,False,,262,tanh,False,True,0.32146283339962634,74.0,relu,True,True,0.38228324837976546,217.0,,,,,,,,,,,0.37919124400184606,69,gelu,230,1.3268099923669393e-05,5.283769110608833e-05,relu,36,leaky_relu,True,True,0.2670680353981242,same,,gelu,True,True,0.3567976969807933,same,,gelu,True,False,,same,,,,,,,,,,,,,,0.0005848128151456731,mae,0.309940828184887,15.0,,4,adam,tanh,32,,l1_l2,none,30,0.72424178263171,False,True,True,,COMPLETE
21,inf,2025-07-14 13:17:56.321139,2025-07-14 13:18:16.880004,0 days 00:00:20.558865,91,True,False,,leaky_relu,False,False,,380,elu,True,True,0.3696969273271051,94.0,selu,True,False,,328.0,tanh,True,False,,9.0,,,,,,0.28431728911024423,111,swish,148,,,elu,33,relu,True,True,0.105747277340253,decrease,,relu,False,True,0.15372725774920765,decrease,,gelu,False,True,0.17811545512226024,decrease,,tanh,False,True,0.12291244430645122,decrease,,,,,,,,0.04325154890825121,huber,,,,5,adamw,relu,22,0.017543437173935934,l2,minmax,39,0.8909416886991446,False,True,False,1.5214606632007087e-05,COMPLETE
